onset	duration	begsample	endsample	offset	ai_hb
21000	30	5376001	5383680	0	-2
21030	30	5383681	5391360	0	-2
21060	30	5391361	5399040	0	-2
21090	30	5399041	5406720	0	-2
21120	30	5406721	5414400	0	-2
21150	30	5414401	5422080	0	-2
21180	30	5422081	5429760	0	-2
21210	30	5429761	5437440	0	-2
21240	30	5437441	5445120	0	-2
21270	30	5445121	5452800	0	-2
21300	30	5452801	5460480	0	-2
21330	30	5460481	5468160	0	-2
21360	30	5468161	5475840	0	-2
21390	30	5475841	5483520	0	-2
21420	30	5483521	5491200	0	-2
21450	30	5491201	5498880	0	-2
21480	30	5498881	5506560	0	-2
21510	30	5506561	5514240	0	-2
21540	30	5514241	5521920	0	-2
21570	30	5521921	5529600	0	-2
21600	30	5529601	5537280	0	-2
21630	30	5537281	5544960	0	-2
21660	30	5544961	5552640	0	-2
21690	30	5552641	5560320	0	-2
21720	30	5560321	5568000	0	-2
21750	30	5568001	5575680	0	-2
21780	30	5575681	5583360	0	-2
21810	30	5583361	5591040	0	-2
21840	30	5591041	5598720	0	-2
21870	30	5598721	5606400	0	-2
21900	30	5606401	5614080	0	-2
21930	30	5614081	5621760	0	-2
21960	30	5621761	5629440	0	-2
21990	30	5629441	5637120	0	-2
22020	30	5637121	5644800	0	-2
22050	30	5644801	5652480	0	-2
22080	30	5652481	5660160	0	-2
22110	30	5660161	5667840	0	-2
22140	30	5667841	5675520	0	-2
22170	30	5675521	5683200	0	-2
22200	30	5683201	5690880	0	-2
22230	30	5690881	5698560	0	-2
22260	30	5698561	5706240	0	-2
22290	30	5706241	5713920	0	-2
22320	30	5713921	5721600	0	-2
22350	30	5721601	5729280	0	-2
22380	30	5729281	5736960	0	-2
22410	30	5736961	5744640	0	-2
22440	30	5744641	5752320	0	-2
22470	30	5752321	5760000	0	-2
22500	30	5760001	5767680	0	-2
22530	30	5767681	5775360	0	-2
22560	30	5775361	5783040	0	-2
22590	30	5783041	5790720	0	-2
22620	30	5790721	5798400	0	-2
22650	30	5798401	5806080	0	-2
22680	30	5806081	5813760	0	-2
22710	30	5813761	5821440	0	-2
22740	30	5821441	5829120	0	-2
22770	30	5829121	5836800	0	-2
22800	30	5836801	5844480	0	-2
22830	30	5844481	5852160	0	-2
22860	30	5852161	5859840	0	-2
22890	30	5859841	5867520	0	-2
22920	30	5867521	5875200	0	-2
22950	30	5875201	5882880	0	-2
22980	30	5882881	5890560	0	-2
23010	30	5890561	5898240	0	-2
23040	30	5898241	5905920	0	-2
23070	30	5905921	5913600	0	-2
23100	30	5913601	5921280	0	-2
23130	30	5921281	5928960	0	-2
23160	30	5928961	5936640	0	-2
23190	30	5936641	5944320	0	-2
23220	30	5944321	5952000	0	-2
23250	30	5952001	5959680	0	-2
23280	30	5959681	5967360	0	-2
23310	30	5967361	5975040	0	-2
23340	30	5975041	5982720	0	-2
23370	30	5982721	5990400	0	-2
23400	30	5990401	5998080	0	-2
23430	30	5998081	6005760	0	-2
23460	30	6005761	6013440	0	-2
23490	30	6013441	6021120	0	-2
23520	30	6021121	6028800	0	-2
23550	30	6028801	6036480	0	-2
23580	30	6036481	6044160	0	-2
23610	30	6044161	6051840	0	-2
23640	30	6051841	6059520	0	-2
23670	30	6059521	6067200	0	-2
23700	30	6067201	6074880	0	-2
